batch_size,family,experiment_label,num_runs,mean_runtime_s,std_runtime_s,baseline_mean_runtime_s,overhead_pct_vs_baseline
16,baseline,Experiment 1,3,284.5085109973333,1.012815280204092,284.5085109973333,0.0
16,codecarbon_onerun,Experiment 2,3,284.953671859,0.36173620054940503,284.5085109973333,0.15646662383005674
16,profile,Experiment 3,3,286.495559874,1.2596585132342293,284.5085109973333,0.6984145640146777
16,codecarbon_grouped,Experiment 4,3,289.93290818500003,2.0499404512985135,284.5085109973333,1.906585208523892
32,baseline,Experiment 1,3,280.908014745,0.729019202450736,280.908014745,0.0
32,codecarbon_onerun,Experiment 2,3,281.263166968,0.4358291292450929,280.908014745,0.12643007830246542
32,profile,Experiment 3,3,282.280073489,0.26775081753437685,280.908014745,0.48843702279037104
32,codecarbon_grouped,Experiment 4,3,284.95053190966667,1.201223002230968,280.908014745,1.4390892934601174
64,baseline,Experiment 1,3,278.42567136533336,1.3356301078725625,278.42567136533336,0.0
64,codecarbon_onerun,Experiment 2,3,277.4138002263333,0.43438558865233395,278.42567136533336,-0.363425949208661
64,profile,Experiment 3,3,278.59867654600004,0.08810492349243942,278.42567136533336,0.0621369357998857
64,codecarbon_grouped,Experiment 4,3,281.30797761733334,1.27575991768131,278.42567136533336,1.0352156961194823
